manufacturer,film_name,film_key,notes
"Di-Noc","3M DiNoc Wood Grain Cherry WG1846","DI-NOC|3M DINOC WOOD GRAIN CHERRY WG1846",""
"Di-Noc","3MDINOC MATTE BREEN WALNUT DW1882MT","DI-NOC|3MDINOC MATTE BREEN WALNUT DW1882MT",""
"Di-Noc","Di-Noc Dry Woods 1898","DI-NOC|DI-NOC DRY WOODS 1898",""
"Di-Noc","DI-NOC OYSTER LINEN F473","DI-NOC|DI-NOC OYSTER LINEN F473",""
"Di-Noc","DI-NOC PS-959","DI-NOC|DI-NOC PS-959",""
"Di-Noc","Di-Noc Stone","DI-NOC|DI-NOC STONE",""
"Di-Noc","DI-NOC Stone AE1636","DI-NOC|DI-NOC STONE AE1636",""
"Di-Noc","Di-Noc Wood Grain 2088","DI-NOC|DI-NOC WOOD GRAIN 2088",""
"Llumar","100% White Out","LLUMAR|100% WHITE OUT",""
"Llumar","3258 - LLUMAR MIST","LLUMAR|3258 - LLUMAR MIST",""
"Llumar","A176 Llumar ATC 05","LLUMAR|A176 LLUMAR ATC 05",""
"Llumar","A177 Llumar IRX 05","LLUMAR|A177 LLUMAR IRX 05",""
"Llumar","A179 Llumar ATC 35","LLUMAR|A179 LLUMAR ATC 35",""
"Llumar","ATC 20%","LLUMAR|ATC 20%",""
"Llumar","ATC 30%","LLUMAR|ATC 30%",""
"Llumar","ATC 35%","LLUMAR|ATC 35%",""
"Llumar","ATC 5%","LLUMAR|ATC 5%",""
"Llumar","ATC 50%","LLUMAR|ATC 50%",""
"Llumar","Bronze (NRMB PS2)","LLUMAR|BRONZE (NRMB PS2)",""
"Llumar","CTX 25%","LLUMAR|CTX 25%",""
"Llumar","CTX 35%","LLUMAR|CTX 35%",""
"Llumar","CTX 5%","LLUMAR|CTX 5%",""
"Llumar","CTX 50%","LLUMAR|CTX 50%",""
"Llumar","Deco Blue","LLUMAR|DECO BLUE",""
"Llumar","DR 15","LLUMAR|DR 15",""
"Llumar","DR 25","LLUMAR|DR 25",""
"Llumar","DR-05","LLUMAR|DR-05",""
"Llumar","DR-35","LLUMAR|DR-35",""
"Llumar","DR35","LLUMAR|DR35",""
"Llumar","Dusk","LLUMAR|DUSK",""
"Llumar","Dusted Crystal (NRMV80DC PS3)","LLUMAR|DUSTED CRYSTAL (NRMV80DC PS3)",""
"Llumar","Etched Frost (NRMV60F PS3)","LLUMAR|ETCHED FROST (NRMV60F PS3)",""
"Llumar","Etched Frost NRMV60FPS3","LLUMAR|ETCHED FROST NRMV60FPS3","AUTO_ADDED_FROM_INVENTORY_COUNT=3"
"Llumar","Frost (NRM PS2)","LLUMAR|FROST (NRM PS2)",""
"Llumar","Frost Matte Snow","LLUMAR|FROST MATTE SNOW",""
"Llumar","Frost NRMPS2","LLUMAR|FROST NRMPS2",""
"Llumar","FROSTED SPARKLE","LLUMAR|FROSTED SPARKLE",""
"Llumar","Glacier NRM55 PS4","LLUMAR|GLACIER NRM55 PS4","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"Llumar","IRX 5%","LLUMAR|IRX 5%",""
"Llumar","IRX 50%","LLUMAR|IRX 50%",""
"Llumar","Mini Dots GRADIENT","LLUMAR|MINI DOTS GRADIENT",""
"Llumar","N1020","LLUMAR|N1020",""
"Llumar","N1020B SR CDF (Bronze)","LLUMAR|N1020B SR CDF (BRONZE)",""
"Llumar","N1035B SR CDF (Bronze)","LLUMAR|N1035B SR CDF (BRONZE)",""
"Llumar","N1050","LLUMAR|N1050",""
"Llumar","N1065 SR CDF (Neutral)","LLUMAR|N1065 SR CDF (NEUTRAL)",""
"Llumar","NHE 1020","LLUMAR|NHE 1020",""
"Llumar","One Way Mirror","LLUMAR|ONE WAY MIRROR",""
"Llumar","OPAQUE BLACK","LLUMAR|OPAQUE BLACK",""
"Llumar","PS13","LLUMAR|PS13",""
"Llumar","R15 GO","LLUMAR|R15 GO",""
"Llumar","R20","LLUMAR|R20",""
"Llumar","R35","LLUMAR|R35",""
"Llumar","RMS-PS 2","LLUMAR|RMS-PS 2",""
"Llumar","RN 07","LLUMAR|RN 07",""
"Llumar","RN 07 Refl. One Way Mirror","LLUMAR|RN 07 REFL. ONE WAY MIRROR",""
"Llumar","RN07","LLUMAR|RN07",""
"Llumar","SCL SR PS8 (Clear)","LLUMAR|SCL SR PS8 (CLEAR)",""
"Llumar","SILVER 20","LLUMAR|SILVER 20",""
"Llumar","Silver Sparkle","LLUMAR|SILVER SPARKLE",""
"Llumar","TH E-80 (The-80 blue)","LLUMAR|TH E-80 (THE-80 BLUE)",""
"Llumar","Uline One-Way Mirror","LLUMAR|ULINE ONE-WAY MIRROR",""
"Llumar","V 14","LLUMAR|V 14",""
"Llumar","V 18","LLUMAR|V 18",""
"Llumar","V 41","LLUMAR|V 41",""
"Llumar","V28","LLUMAR|V28","AUTO_ADDED_FROM_INVENTORY_COUNT=4"
"Llumar","V28 SR CDF","LLUMAR|V28 SR CDF","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Llumar","V33","LLUMAR|V33",""
"Llumar","V45","LLUMAR|V45","AUTO_ADDED_FROM_INVENTORY_COUNT=7"
"Llumar","V51","LLUMAR|V51","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Llumar","V58","LLUMAR|V58",""
"Llumar","Vista 58 (v58)","LLUMAR|VISTA 58 (V58)","AUTO_ADDED_FROM_INVENTORY_COUNT=10"
"Llumar","Vista 61","LLUMAR|VISTA 61",""
"Llumar","Vista Neutral 45","LLUMAR|VISTA NEUTRAL 45",""
"Llumar","VS 61","LLUMAR|VS 61",""
"Llumar","White (NRMW PS3)","LLUMAR|WHITE (NRMW PS3)","AUTO_ADDED_FROM_INVENTORY_COUNT=5"
"Llumar","White Matte","LLUMAR|WHITE MATTE",""
"Llumar","White NRMW PS","LLUMAR|WHITE NRMW PS","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Madico","Optivision Reflective 15","MADICO|OPTIVISION REFLECTIVE 15",""
"Madico","Safetyshield 800 Optivision 15","MADICO|SAFETYSHIELD 800 OPTIVISION 15",""
"Security","15 MIL SAFETYSHIELD CLEAR","SECURITY|15 MIL SAFETYSHIELD CLEAR",""
"Security","3807 Safety Shield 800","SECURITY|3807 SAFETY SHIELD 800",""
"Security","3M 4 MIL","SECURITY|3M 4 MIL",""
"Security","3M 7 MIL Ext","SECURITY|3M 7 MIL EXT",""
"Security","3M 7 MIL Ext SH7CLARXL","SECURITY|3M 7 MIL EXT SH7CLARXL","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M AG","SECURITY|3M AG",""
"Security","3M AG Clear 4 Mil ix","SECURITY|3M AG CLEAR 4 MIL IX",""
"Security","3M AG-4","SECURITY|3M AG-4",""
"Security","3M AG-6","SECURITY|3M AG-6",""
"Security","3M S140","SECURITY|3M S140","AUTO_ADDED_FROM_INVENTORY_COUNT=57"
"Security","3M S20 Silver","SECURITY|3M S20 SILVER","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M S2400","SECURITY|3M S2400","AUTO_ADDED_FROM_INVENTORY_COUNT=25"
"Security","3M S40 Ext","SECURITY|3M S40 EXT","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M S70","SECURITY|3M S70","AUTO_ADDED_FROM_INVENTORY_COUNT=31"
"Security","3M S80 (sh8sclarl)","SECURITY|3M S80 (SH8SCLARL)","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M Safety S40 4 MIL","SECURITY|3M SAFETY S40 4 MIL","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M Safety S80","SECURITY|3M SAFETY S80","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M SH14CLARL 14 MIL","SECURITY|3M SH14CLARL 14 MIL",""
"Security","3M SH4 CLARXL Exterior 4 MIL","SECURITY|3M SH4 CLARXL EXTERIOR 4 MIL","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M SH7 Ext 72""- B","SECURITY|3M SH7 EXT 72""- B","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M SH7 Interior","SECURITY|3M SH7 INTERIOR","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","3M Ultra Night Vision 25","SECURITY|3M ULTRA NIGHT VISION 25",""
"Security","3M Ultra Prestige 20","SECURITY|3M ULTRA PRESTIGE 20",""
"Security","3M Ultra Prestige 50","SECURITY|3M ULTRA PRESTIGE 50",""
"Security","3M Ultra Prestige 70","SECURITY|3M ULTRA PRESTIGE 70",""
"Security","3M Ultra S600","SECURITY|3M ULTRA S600",""
"Security","3M Ultra S800","SECURITY|3M ULTRA S800",""
"Security","7 MIL","SECURITY|7 MIL",""
"Security","AV Clear 7 MIL","SECURITY|AV CLEAR 7 MIL",""
"Security","AV Clear 7 MIL EXT","SECURITY|AV CLEAR 7 MIL EXT",""
"Security","Avery Dennison Anti Graf. Clear 6 MIL R173G3X","SECURITY|AVERY DENNISON ANTI GRAF. CLEAR 6 MIL R173G3X",""
"Security","Avery Dennison DS Matte 2 MIL R07311","SECURITY|AVERY DENNISON DS MATTE 2 MIL R07311",""
"Security","Avery Dennison Safety Clear 12 MIL","SECURITY|AVERY DENNISON SAFETY CLEAR 12 MIL",""
"Security","Avery Dennison Safety Matte 12 MIL","SECURITY|AVERY DENNISON SAFETY MATTE 12 MIL",""
"Security","Avery Dennison Safety Matte 12 MIL R32311C","SECURITY|AVERY DENNISON SAFETY MATTE 12 MIL R32311C",""
"Security","Avery Dennison Safety Matte 5 MIL R14811","SECURITY|AVERY DENNISON SAFETY MATTE 5 MIL R14811",""
"Security","Avery Dennison Silver 20 4 MIL","SECURITY|AVERY DENNISON SILVER 20 4 MIL",""
"Security","Avery Dennison Silver 20 Hanita 4 MIL","SECURITY|AVERY DENNISON SILVER 20 HANITA 4 MIL",""
"Security","Llumar 9 MIL Warm Gray DR 15","SECURITY|LLUMAR 9 MIL WARM GRAY DR 15",""
"Security","Llumar Clear 13 MIL","SECURITY|LLUMAR CLEAR 13 MIL",""
"Security","Llumar DR 15 9 MIL","SECURITY|LLUMAR DR 15 9 MIL",""
"Security","Llumar DR 15 Safety 9 MIL","SECURITY|LLUMAR DR 15 SAFETY 9 MIL",""
"Security","Llumar M661 Llumar 13 MIL Clear","SECURITY|LLUMAR M661 LLUMAR 13 MIL CLEAR",""
"Security","Llumar PS-8 Silver","SECURITY|LLUMAR PS-8 SILVER",""
"Security","LLUMAR SCL PS 8 MIL","SECURITY|LLUMAR SCL PS 8 MIL",""
"Security","Llumar Warm Gray 15 MIL","SECURITY|LLUMAR WARM GRAY 15 MIL",""
"Security","M346 Madico Safety shield","SECURITY|M346 MADICO SAFETY SHIELD",""
"Security","M671 MadicoSafetyShield 80072""","SECURITY|M671 MADICOSAFETYSHIELD 80072""",""
"Security","Madico 12 Mil Frost Matte","SECURITY|MADICO 12 MIL FROST MATTE",""
"Security","Madico 14 MIL","SECURITY|MADICO 14 MIL",""
"Security","Madico 7 MIL EXT CL700E","SECURITY|MADICO 7 MIL EXT CL700E",""
"Security","Madico Blister Free","SECURITY|MADICO BLISTER FREE",""
"Security","Madico Blister Free BL200 PS","SECURITY|MADICO BLISTER FREE BL200 PS",""
"Security","Madico Clear 8 MIL Safetyshield 800","SECURITY|MADICO CLEAR 8 MIL SAFETYSHIELD 800",""
"Security","Madico Clear Plex 400 48"" w/s film","SECURITY|MADICO CLEAR PLEX 400 48"" W/S FILM",""
"Security","Madico Deco 2 MIL Frost Matte","SECURITY|MADICO DECO 2 MIL FROST MATTE",""
"Security","Madico Deco. Optivision 15","SECURITY|MADICO DECO. OPTIVISION 15",""
"Security","Madico Deco. Optivision 25","SECURITY|MADICO DECO. OPTIVISION 25",""
"Security","Madico Designer Gray 45 8 MIL","SECURITY|MADICO DESIGNER GRAY 45 8 MIL",""
"Security","Madico Frost Matte 2 Mil 200PS","SECURITY|MADICO FROST MATTE 2 MIL 200PS",""
"Security","Madico Graffiti Free 4 Mil","SECURITY|MADICO GRAFFITI FREE 4 MIL",""
"Security","Madico Graffiti Free 6 MIL","SECURITY|MADICO GRAFFITI FREE 6 MIL",""
"Security","Madico Graffiti Free 6 MIL 600 PS","SECURITY|MADICO GRAFFITI FREE 6 MIL 600 PS",""
"Security","Madico Optivision 15","SECURITY|MADICO OPTIVISION 15",""
"Security","Madico Optivision 15 9 mil","SECURITY|MADICO OPTIVISION 15 9 MIL",""
"Security","Madico Optivision 35","SECURITY|MADICO OPTIVISION 35",""
"Security","Madico Optivision 45","SECURITY|MADICO OPTIVISION 45",""
"Security","Madico Optivision Refl 15","SECURITY|MADICO OPTIVISION REFL 15",""
"Security","Madico Reflective Silver 40","SECURITY|MADICO REFLECTIVE SILVER 40",""
"Security","Madico Safety Clear 4 mil","SECURITY|MADICO SAFETY CLEAR 4 MIL",""
"Security","Madico Safety Clear 4 Mil CL400","SECURITY|MADICO SAFETY CLEAR 4 MIL CL400",""
"Security","Madico Safety Clear Ext 7 MIL","SECURITY|MADICO SAFETY CLEAR EXT 7 MIL",""
"Security","Madico Safety S","SECURITY|MADICO SAFETY S",""
"Security","Madico Safetyshield 1500","SECURITY|MADICO SAFETYSHIELD 1500",""
"Security","Madico Safetyshield 700","SECURITY|MADICO SAFETYSHIELD 700",""
"Security","Madico Safetyshield 800","SECURITY|MADICO SAFETYSHIELD 800",""
"Security","Madico Safetyshield 800 Optivision 15","SECURITY|MADICO SAFETYSHIELD 800 OPTIVISION 15",""
"Security","Madico SF 25 DA SR","SECURITY|MADICO SF 25 DA SR",""
"Security","Madico SG 35","SECURITY|MADICO SG 35",""
"Security","Madico SL 38 DA SR","SECURITY|MADICO SL 38 DA SR",""
"Security","Madico SS Optivision 25 8 ml","SECURITY|MADICO SS OPTIVISION 25 8 ML",""
"Security","Safety Sand Blast","SECURITY|SAFETY SAND BLAST",""
"Security","Safety Shield 800","SECURITY|SAFETY SHIELD 800",""
"Security","Safetyshield Madico Clear 8 MIL","SECURITY|SAFETYSHIELD MADICO CLEAR 8 MIL",""
"Security","Silver S20 8 Mil","SECURITY|SILVER S20 8 MIL","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","SOL Ultrasafe WM560","SECURITY|SOL ULTRASAFE WM560",""
"Security","SOL Ultrasafe WM560 Frost 5 MIL","SECURITY|SOL ULTRASAFE WM560 FROST 5 MIL",""
"Security","Solar Gard 8 MIL SS 35","SECURITY|SOLAR GARD 8 MIL SS 35",""
"Security","Solar Gard SG 7 MIL Graffiti Gard SRX","SECURITY|SOLAR GARD SG 7 MIL GRAFFITI GARD SRX",""
"Security","Solar Gard SG Graffitigard 6 MIL","SECURITY|SOLAR GARD SG GRAFFITIGARD 6 MIL",""
"Security","Solar Gard SG GraffitiGuard 4 MIL","SECURITY|SOLAR GARD SG GRAFFITIGUARD 4 MIL",""
"Security","Solar Gard SG Safety Clear 4 MIL","SECURITY|SOLAR GARD SG SAFETY CLEAR 4 MIL",""
"Security","Solar Gard SG Silver 20 8 MIL","SECURITY|SOLAR GARD SG SILVER 20 8 MIL",""
"Security","Solyx Safety Sand Blast","SECURITY|SOLYX SAFETY SAND BLAST",""
"Security","Solyx White Matte Max 5 MIL ULTRASAFE-WMAX","SECURITY|SOLYX WHITE MATTE MAX 5 MIL ULTRASAFE-WMAX",""
"Security","Trident Clear 11 MIL","SECURITY|TRIDENT CLEAR 11 MIL",""
"Security","Ultra Prestige 70","SECURITY|ULTRA PRESTIGE 70",""
"Security","Ultra S15","SECURITY|ULTRA S15","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Security","Vinyl Ultra Prestige 70","SECURITY|VINYL ULTRA PRESTIGE 70",""
"Solar Gard","Bronze 20","SOLAR GARD|BRONZE 20",""
"Solar Gard","DR Slate 10","SOLAR GARD|DR SLATE 10","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","DR TRUEVUE 05","SOLAR GARD|DR TRUEVUE 05","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","Ecolux 70","SOLAR GARD|ECOLUX 70",""
"Solar Gard","EXT Sentinel Plus Silver 35","SOLAR GARD|EXT SENTINEL PLUS SILVER 35",""
"Solar Gard","Hilite 40","SOLAR GARD|HILITE 40",""
"Solar Gard","HiLite 70","SOLAR GARD|HILITE 70",""
"Solar Gard","Panarama HiLite 70","SOLAR GARD|PANARAMA HILITE 70",""
"Solar Gard","Panaroma Slate 20","SOLAR GARD|PANAROMA SLATE 20","AUTO_ADDED_FROM_INVENTORY_COUNT=3"
"Solar Gard","Panaroma Slate 30","SOLAR GARD|PANAROMA SLATE 30","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","Panaroma Slate 40","SOLAR GARD|PANAROMA SLATE 40","AUTO_ADDED_FROM_INVENTORY_COUNT=3"
"Solar Gard","Panorama Slate 10","SOLAR GARD|PANORAMA SLATE 10","AUTO_ADDED_FROM_INVENTORY_COUNT=5"
"Solar Gard","Panorama Slate 40","SOLAR GARD|PANORAMA SLATE 40","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"Solar Gard","Panorama Sterling 60","SOLAR GARD|PANORAMA STERLING 60",""
"Solar Gard","Panorama Sterling 70","SOLAR GARD|PANORAMA STERLING 70",""
"Solar Gard","Sentinel Plus DX 15","SOLAR GARD|SENTINEL PLUS DX 15",""
"Solar Gard","Sentinel Plus DX5 EXT","SOLAR GARD|SENTINEL PLUS DX5 EXT",""
"Solar Gard","Sentinel Plus Silver 20 Ext.","SOLAR GARD|SENTINEL PLUS SILVER 20 EXT.",""
"Solar Gard","Sentinel Plus Silver 35X EXT","SOLAR GARD|SENTINEL PLUS SILVER 35X EXT",""
"Solar Gard","Sentinel Plus SX50 OSW","SOLAR GARD|SENTINEL PLUS SX50 OSW","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","SGTrue Vue 40","SOLAR GARD|SGTRUE VUE 40",""
"Solar Gard","Silver 20","SOLAR GARD|SILVER 20",""
"Solar Gard","Silver 20 Ext","SOLAR GARD|SILVER 20 EXT",""
"Solar Gard","Silver 20 Exterior","SOLAR GARD|SILVER 20 EXTERIOR",""
"Solar Gard","Silver 20 HC","SOLAR GARD|SILVER 20 HC",""
"Solar Gard","Silver 35","SOLAR GARD|SILVER 35",""
"Solar Gard","Slate 10","SOLAR GARD|SLATE 10","AUTO_ADDED_FROM_INVENTORY_COUNT=19"
"Solar Gard","Slate 20","SOLAR GARD|SLATE 20","AUTO_ADDED_FROM_INVENTORY_COUNT=15"
"Solar Gard","Slate 30","SOLAR GARD|SLATE 30","AUTO_ADDED_FROM_INVENTORY_COUNT=13"
"Solar Gard","Slate 30 (panorama)","SOLAR GARD|SLATE 30 (PANORAMA)","AUTO_ADDED_FROM_INVENTORY_COUNT=4"
"Solar Gard","Slate 40","SOLAR GARD|SLATE 40","AUTO_ADDED_FROM_INVENTORY_COUNT=18"
"Solar Gard","SLATE 40 36"" MISSING","SOLAR GARD|SLATE 40 36"" MISSING","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","Slate 40 72"" (box 1 Of 2)","SOLAR GARD|SLATE 40 72"" (BOX 1 OF 2)","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","Sterling 50","SOLAR GARD|STERLING 50",""
"Solar Gard","Sterling 70","SOLAR GARD|STERLING 70",""
"Solar Gard","SX 50","SOLAR GARD|SX 50","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"Solar Gard","Truevue 05","SOLAR GARD|TRUEVUE 05",""
"Solar Gard","Truevue 15","SOLAR GARD|TRUEVUE 15","AUTO_ADDED_FROM_INVENTORY_COUNT=25 | AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","Truevue 15 PS HC","SOLAR GARD|TRUEVUE 15 PS HC","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"Solar Gard","Truevue 30","SOLAR GARD|TRUEVUE 30","AUTO_ADDED_FROM_INVENTORY_COUNT=8 | AUTO_ADDED_FROM_INVENTORY_COUNT=3"
"Solar Gard","Truevue 30 PS HC","SOLAR GARD|TRUEVUE 30 PS HC","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","Truevue 40","SOLAR GARD|TRUEVUE 40","AUTO_ADDED_FROM_INVENTORY_COUNT=7"
"Solar Gard","Truevue 40 48"" (re-rolled A Partial To 15')","SOLAR GARD|TRUEVUE 40 48"" (RE-ROLLED A PARTIAL TO 15')","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"Solar Gard","Truevue 5","SOLAR GARD|TRUEVUE 5","AUTO_ADDED_FROM_INVENTORY_COUNT=5"
"Solar Gard","TV True Vue 15","SOLAR GARD|TV TRUE VUE 15",""
"SOLYX","1"" Reeded Glass SX-1255","SOLYX|1"" REEDED GLASS SX-1255",""
"SOLYX","1/2"" Reeded Glass SX-1254","SOLYX|1/2"" REEDED GLASS SX-1254",""
"SOLYX","1/4"" Reeded Glass SX-1262","SOLYX|1/4"" REEDED GLASS SX-1262",""
"SOLYX","Alps SXC392","SOLYX|ALPS SXC392","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"SOLYX","Antique Silver Mirror","SOLYX|ANTIQUE SILVER MIRROR",""
"SOLYX","Bird Safety Film Dot (sx-bsfd)","SOLYX|BIRD SAFETY FILM DOT (SX-BSFD)","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","BLACK BLOCK OUT GLOSSY","SOLYX|BLACK BLOCK OUT GLOSSY",""
"SOLYX","Blackout","SOLYX|BLACKOUT",""
"SOLYX","Blackout SXWFBO","SOLYX|BLACKOUT SXWFBO","AUTO_ADDED_FROM_INVENTORY_COUNT=11"
"SOLYX","BRUSHED METAL SXS-M300","SOLYX|BRUSHED METAL SXS-M300","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Casper Cloaking PF001-801","SOLYX|CASPER CLOAKING PF001-801",""
"SOLYX","CHARCOAL MATTE SXWF-CM","SOLYX|CHARCOAL MATTE SXWF-CM","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"SOLYX","CLEAR BRUSH SXHE-02","SOLYX|CLEAR BRUSH SXHE-02","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Clear Frost","SOLYX|CLEAR FROST",""
"SOLYX","Clear Sand Blast","SOLYX|CLEAR SAND BLAST",""
"SOLYX","Clear Sand Blast36""","SOLYX|CLEAR SAND BLAST36""",""
"SOLYX","Cut Grass Drops","SOLYX|CUT GRASS DROPS",""
"SOLYX","Dark Black SXP-014","SOLYX|DARK BLACK SXP-014",""
"SOLYX","Dark Gray Sandblast SXB-73","SOLYX|DARK GRAY SANDBLAST SXB-73","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Deep Etch","SOLYX|DEEP ETCH",""
"SOLYX","Dove Stained Glass","SOLYX|DOVE STAINED GLASS",""
"SOLYX","Dove Stained Glass SXEG-1025","SOLYX|DOVE STAINED GLASS SXEG-1025","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Dual Feather Gradient SXJ-0591","SOLYX|DUAL FEATHER GRADIENT SXJ-0591","AUTO_ADDED_FROM_INVENTORY_COUNT=3"
"SOLYX","Dual Feather Gradient SXJ0548","SOLYX|DUAL FEATHER GRADIENT SXJ0548","AUTO_ADDED_FROM_INVENTORY_COUNT=3"
"SOLYX","Dual Misty Fost SXJ-0598 GRADIANT","SOLYX|DUAL MISTY FOST SXJ-0598 GRADIANT","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"SOLYX","Dual Motion Gradient SXJ-0585","SOLYX|DUAL MOTION GRADIENT SXJ-0585","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Dusted White Matte","SOLYX|DUSTED WHITE MATTE",""
"SOLYX","Eco Dusted","SOLYX|ECO DUSTED",""
"SOLYX","Eco Dusted Crystal SX-3131","SOLYX|ECO DUSTED CRYSTAL SX-3131",""
"SOLYX","Etched Dual Dot Gradient SXJ0583","SOLYX|ETCHED DUAL DOT GRADIENT SXJ0583","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Etched Leise","SOLYX|ETCHED LEISE",""
"SOLYX","EtchnWhite Random Lines","SOLYX|ETCHNWHITE RANDOM LINES",""
"SOLYX","Feather Gradient","SOLYX|FEATHER GRADIENT",""
"SOLYX","Fine Brushed SX-1017-UG","SOLYX|FINE BRUSHED SX-1017-UG",""
"SOLYX","Fine Brushed SXL1017","SOLYX|FINE BRUSHED SXL1017","AUTO_ADDED_FROM_INVENTORY_COUNT=4"
"SOLYX","Fleur De Lis SGV6614","SOLYX|FLEUR DE LIS SGV6614",""
"SOLYX","Frosted Persimmon","SOLYX|FROSTED PERSIMMON",""
"SOLYX","Frosted Squares","SOLYX|FROSTED SQUARES",""
"SOLYX","Frosted Strie SGV6613","SOLYX|FROSTED STRIE SGV6613",""
"SOLYX","Frosted Stripes SXC-1418","SOLYX|FROSTED STRIPES SXC-1418",""
"SOLYX","Frosted Stripes-Vertical SX-316132-V-UG","SOLYX|FROSTED STRIPES-VERTICAL SX-316132-V-UG",""
"SOLYX","Frosted Vine","SOLYX|FROSTED VINE",""
"SOLYX","Gentian blue","SOLYX|GENTIAN BLUE",""
"SOLYX","GLOSS BLACK VINYL","SOLYX|GLOSS BLACK VINYL",""
"SOLYX","GLOSS BLACK VINYL SXV-9-1003","SOLYX|GLOSS BLACK VINYL SXV-9-1003","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Gold Weave SCG02","SOLYX|GOLD WEAVE SCG02",""
"SOLYX","Gradient Dry Erase","SOLYX|GRADIENT DRY ERASE",""
"SOLYX","Ice Melt SGC-6521","SOLYX|ICE MELT SGC-6521",""
"SOLYX","Lineage Dual Frost. Grad. SXJ0599","SOLYX|LINEAGE DUAL FROST. GRAD. SXJ0599","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"SOLYX","Lineage Dual Frosted Gradient","SOLYX|LINEAGE DUAL FROSTED GRADIENT",""
"SOLYX","M3309 Solyx White/blackout","SOLYX|M3309 SOLYX WHITE/BLACKOUT",""
"SOLYX","MAGNETIC White Dry Erase For Glass SX2097","SOLYX|MAGNETIC WHITE DRY ERASE FOR GLASS SX2097","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Milky Frost SXMD8303","SOLYX|MILKY FROST SXMD8303","AUTO_ADDED_FROM_INVENTORY_COUNT=6"
"SOLYX","One Way Perf SX1940","SOLYX|ONE WAY PERF SX1940","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","One Way Slv./gry SXSG09","SOLYX|ONE WAY SLV./GRY SXSG09","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"SOLYX","Organic Cotton SX3146","SOLYX|ORGANIC COTTON SX3146","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Organic Strie SX-5015","SOLYX|ORGANIC STRIE SX-5015","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Red Clear","SOLYX|RED CLEAR",""
"SOLYX","Reeded Glass 1"" bars","SOLYX|REEDED GLASS 1"" BARS",""
"SOLYX","Reflect Protect","SOLYX|REFLECT PROTECT",""
"SOLYX","Regimental Bars 131","SOLYX|REGIMENTAL BARS 131",""
"SOLYX","Ribbed Glass Clear SX-9050","SOLYX|RIBBED GLASS CLEAR SX-9050","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"SOLYX","Safety Sand Blast","SOLYX|SAFETY SAND BLAST",""
"SOLYX","Safety Sandblast","SOLYX|SAFETY SANDBLAST",""
"SOLYX","Sambe","SOLYX|SAMBE",""
